0.005,86.7
0.01,76.1
0.015,75.9
0.02,74.2
0.025,74.7
0.03,73.8
0.035,74.7
0.04,75.0
0.045,75.9
0.05,75.2
0.055,75.3
0.06,74.0
0.065,75.5
0.07,75.4
0.075,74.7
0.08,74.7
0.085,74.2
0.09,74.9
0.095,74.3
0.1,74.2
0.105,73.6
0.11,75.0
0.115,74.7
0.12,75.5
0.125,74.1
0.13,73.7
0.135,73.8
0.14,74.0
0.145,75.4
0.15,73.7
0.155,74.0
0.16,73.8
0.165,74.2
0.17,74.2
0.175,75.1
0.18,74.7
0.185,74.2
0.19,74.1
0.195,75.1
0.2,74.3
0.205,73.6
0.21,74.0
0.215,73.3
0.22,73.5
0.225,74.0
0.23,75.1
0.235,73.8
0.24,74.1
0.245,73.6
0.25,75.1
